date,mean_risk_z,high_intensity,low_intensity,dispersion,total_assets,mean_risk_z_smooth,high_intensity_smooth,portfolio_risk_regime_raw,portfolio_risk_regime
2024-11-28,0.024384665551716322,0.0676056338028169,0.04225352112676056,0.6886971238002072,355,0.05480243346581907,0.1032609012205912,NORMAL,NORMAL
2024-11-29,-0.02479398116573184,0.05341246290801187,0.05341246290801187,0.6805709130892623,337,0.021910430943369273,0.08471703277067494,NORMAL,NORMAL
2024-12-02,0.05465783551225226,0.09798270893371758,0.05475504322766571,0.8112612864959093,347,0.03241250917253441,0.08368320206458178,NORMAL,NORMAL
2024-12-03,-0.002806930359103524,0.10285714285714286,0.05714285714285714,0.7670229540082995,350,0.020293260760160792,0.08425463063601035,NORMAL,NORMAL
2024-12-04,0.0002966033037820202,0.09943181818181818,0.056818181818181816,0.8117072827692877,352,0.010347638568583025,0.08425795333670147,NORMAL,NORMAL
2024-12-05,-0.09780379546426281,0.08732394366197183,0.08169014084507042,0.8042977667574618,355,-0.014090053634612801,0.08820161530853246,NORMAL,NORMAL
2024-12-06,0.17992338532243693,0.14488636363636365,0.07386363636363637,1.026689629533662,352,0.02685341966302095,0.10649639545420282,NORMAL,NORMAL
2024-12-09,0.1529567375566958,0.13274336283185842,0.05309734513274336,0.8973596427393598,339,0.04651320007190966,0.11344852623383099,NORMAL,NORMAL
2024-12-10,0.0474469989102419,0.10335195530726257,0.05865921787709497,0.8421053200708566,358,0.05656398592577875,0.11354748872385492,NORMAL,NORMAL
2024-12-11,0.08582651281306186,0.10028653295128939,0.04297994269340974,0.8864803903544172,349,0.07366996782763471,0.11371843167774917,NORMAL,NORMAL
2024-12-12,0.0026056676350494695,0.09248554913294797,0.06358381502890173,0.8303692821664627,346,0.09375186044749718,0.1147507527719444,NORMAL,NORMAL
2024-12-13,-0.159767252139458,0.05747126436781609,0.08908045977011494,0.7602432640809618,348,0.025813732955118185,0.0972677329182349,NORMAL,NORMAL
2024-12-16,-0.24055271047762386,0.07246376811594203,0.12173913043478261,0.8109970450100338,345,-0.05288815665174575,0.08521181397505162,NORMAL,NORMAL
2024-12-17,-0.16777619827792523,0.06376811594202898,0.12173913043478261,0.8039782621860048,345,-0.09593279608937917,0.0772950461020049,NORMAL,NORMAL
2024-12-18,-0.12243290701685398,0.0903954802259887,0.10451977401129943,0.8305480695464181,354,-0.13758468005536234,0.07531683555694477,NORMAL,NORMAL
2024-12-19,-0.07556130343656935,0.09195402298850575,0.08333333333333333,0.8671535993071363,348,-0.1532180742696861,0.07521053032805632,NORMAL,NORMAL
2024-12-20,-0.02700319388550542,0.0830945558739255,0.054441260744985676,0.8148127989979111,349,-0.1266652626188956,0.08033518862927819,NORMAL,NORMAL
2024-12-23,0.0495892400697739,0.10393258426966293,0.0702247191011236,0.9069398550402981,356,-0.06863687250941605,0.08662895186002237,NORMAL,NORMAL
2024-12-24,0.1239914414449837,0.1271186440677966,0.02824858757062147,0.852013526832286,354,-0.010283344564834252,0.0992990574851759,NORMAL,NORMAL
2024-12-25,0.04150964239413296,0.12112676056338029,0.061971830985915494,0.8577625452681747,355,0.022505165317363136,0.10544531355265421,NORMAL,NORMAL
2024-12-26,0.09416204296322839,0.12181303116147309,0.059490084985835696,0.9063425291490332,353,0.05644983459732269,0.11141711518724769,NORMAL,NORMAL
2024-12-27,0.11179871727191155,0.14730878186968838,0.06515580736543909,0.9842917143869095,353,0.08421021682880608,0.12425996038640026,NORMAL,NORMAL
2024-12-30,-0.012334063016709827,0.11363636363636363,0.08238636363636363,0.9187438611391412,352,0.07182555621150934,0.12620071625974041,NORMAL,NORMAL
2024-12-31,-0.16903437163093954,0.07142857142857142,0.11142857142857143,0.8073181024935963,350,0.013220393596324686,0.11506270173189537,NORMAL,NORMAL
2025-01-02,-0.1818529055676027,0.06140350877192982,0.1023391812865497,0.8388902233860707,342,-0.03145211599602245,0.10311805137360526,NORMAL,NORMAL
2025-01-03,-0.14998389767278572,0.0744047619047619,0.10119047619047619,0.8100257475282807,336,-0.08028130412322527,0.09363639752226302,NORMAL,NORMAL
2025-01-06,-0.29552369254400707,0.052941176470588235,0.11764705882352941,0.7400700913456179,340,-0.161745786086409,0.074762876442443,NORMAL,NORMAL
2025-01-07,-0.15043164495987615,0.10650887573964497,0.12721893491124261,0.9766179993489487,338,-0.18936530247504224,0.07333737886309927,NORMAL,NORMAL
2025-01-08,0.00711122744758506,0.1411764705882353,0.09411764705882353,1.0046260617056701,340,-0.15413618265933732,0.08728695869503204,NORMAL,NORMAL
2025-01-09,-0.04107432303998526,0.11011904761904762,0.07142857142857142,0.8681017009374369,336,-0.12598046615381384,0.0970300664644556,NORMAL,NORMAL
