date,symbol,allocation_weight,risk_regime,risk_profile
2020-05-29,ACB,0.2503318962756831,LOW,balanced
2020-05-29,CTD,0.2461491905606284,LOW,balanced
2020-05-29,FPT,0.22300417407973971,LOW,balanced
2020-05-29,GEX,0.2,LOW,balanced
2020-06-01,GEX,0.25751317448518635,LOW,balanced
2020-06-01,CTD,0.2750870941727203,LOW,balanced
2020-06-01,ACB,0.25988631840040255,LOW,balanced
2020-06-01,VNM,0.051299234339665274,LOW,balanced
2020-06-01,FPT,0.15621417860202555,LOW,balanced
2020-06-02,GEX,0.25751317448518635,LOW,balanced
2020-06-02,CTD,0.2750870941727203,LOW,balanced
2020-06-02,ACB,0.25988631840040255,LOW,balanced
2020-06-02,VNM,0.051299234339665274,LOW,balanced
2020-06-02,FPT,0.15621417860202555,LOW,balanced
2020-06-03,GEX,0.25751317448518635,LOW,balanced
2020-06-03,CTD,0.2750870941727203,LOW,balanced
2020-06-03,ACB,0.25988631840040255,LOW,balanced
2020-06-03,VNM,0.051299234339665274,LOW,balanced
2020-06-03,FPT,0.15621417860202555,LOW,balanced
2020-06-04,GEX,0.25751317448518635,LOW,balanced
2020-06-04,CTD,0.2750870941727203,LOW,balanced
2020-06-04,ACB,0.25988631840040255,LOW,balanced
2020-06-04,VNM,0.051299234339665274,LOW,balanced
2020-06-04,FPT,0.15621417860202555,LOW,balanced
2020-06-05,GEX,0.25751317448518635,LOW,balanced
2020-06-05,CTD,0.2750870941727203,LOW,balanced
2020-06-05,ACB,0.25988631840040255,LOW,balanced
2020-06-05,VNM,0.051299234339665274,LOW,balanced
2020-06-05,FPT,0.15621417860202555,LOW,balanced
2020-06-08,GEX,0.25751317448518635,LOW,balanced
2020-06-08,CTD,0.2750870941727203,LOW,balanced
2020-06-08,ACB,0.25988631840040255,LOW,balanced
2020-06-08,VNM,0.051299234339665274,LOW,balanced
2020-06-08,FPT,0.15621417860202555,LOW,balanced
2020-06-09,GEX,0.25751317448518635,LOW,balanced
2020-06-09,CTD,0.2750870941727203,LOW,balanced
2020-06-09,ACB,0.25988631840040255,LOW,balanced
2020-06-09,VNM,0.051299234339665274,LOW,balanced
2020-06-09,FPT,0.15621417860202555,LOW,balanced
2020-06-10,GEX,0.25751317448518635,LOW,balanced
2020-06-10,CTD,0.2750870941727203,LOW,balanced
2020-06-10,ACB,0.25988631840040255,LOW,balanced
2020-06-10,VNM,0.051299234339665274,LOW,balanced
2020-06-10,FPT,0.15621417860202555,LOW,balanced
2020-06-11,GEX,0.25751317448518635,LOW,balanced
2020-06-11,CTD,0.2750870941727203,LOW,balanced
2020-06-11,ACB,0.25988631840040255,LOW,balanced
2020-06-11,VNM,0.051299234339665274,LOW,balanced
2020-06-11,FPT,0.15621417860202555,LOW,balanced
2020-06-12,GEX,0.25751317448518635,LOW,balanced
2020-06-12,CTD,0.2750870941727203,LOW,balanced
2020-06-12,ACB,0.25988631840040255,LOW,balanced
2020-06-12,VNM,0.051299234339665274,LOW,balanced
2020-06-12,FPT,0.15621417860202555,LOW,balanced
2020-06-15,GEX,0.25751317448518635,LOW,balanced
2020-06-15,CTD,0.2750870941727203,LOW,balanced
2020-06-15,ACB,0.25988631840040255,LOW,balanced
2020-06-15,VNM,0.051299234339665274,LOW,balanced
2020-06-15,FPT,0.15621417860202555,LOW,balanced
2020-06-16,GEX,0.25751317448518635,HIGH,balanced
2020-06-16,CTD,0.2750870941727203,HIGH,balanced
2020-06-16,ACB,0.25988631840040255,HIGH,balanced
2020-06-16,VNM,0.051299234339665274,HIGH,balanced
2020-06-16,FPT,0.15621417860202555,HIGH,balanced
2020-06-17,GEX,0.25751317448518635,HIGH,balanced
2020-06-17,CTD,0.2750870941727203,HIGH,balanced
2020-06-17,ACB,0.25988631840040255,HIGH,balanced
2020-06-17,VNM,0.051299234339665274,HIGH,balanced
2020-06-17,FPT,0.15621417860202555,HIGH,balanced
2020-06-18,GEX,0.25751317448518635,HIGH,balanced
2020-06-18,CTD,0.2750870941727203,HIGH,balanced
2020-06-18,ACB,0.25988631840040255,HIGH,balanced
2020-06-18,VNM,0.051299234339665274,HIGH,balanced
2020-06-18,FPT,0.15621417860202555,HIGH,balanced
2020-06-19,GEX,0.25751317448518635,HIGH,balanced
2020-06-19,CTD,0.2750870941727203,HIGH,balanced
2020-06-19,ACB,0.25988631840040255,HIGH,balanced
2020-06-19,VNM,0.051299234339665274,HIGH,balanced
2020-06-19,FPT,0.15621417860202555,HIGH,balanced
2020-06-22,GEX,0.25751317448518635,LOW,balanced
2020-06-22,CTD,0.2750870941727203,LOW,balanced
2020-06-22,ACB,0.25988631840040255,LOW,balanced
2020-06-22,VNM,0.051299234339665274,LOW,balanced
2020-06-22,FPT,0.15621417860202555,LOW,balanced
2020-06-23,GEX,0.25751317448518635,LOW,balanced
2020-06-23,CTD,0.2750870941727203,LOW,balanced
2020-06-23,ACB,0.25988631840040255,LOW,balanced
2020-06-23,VNM,0.051299234339665274,LOW,balanced
2020-06-23,FPT,0.15621417860202555,LOW,balanced
2020-06-24,GEX,0.25751317448518635,LOW,balanced
2020-06-24,CTD,0.2750870941727203,LOW,balanced
2020-06-24,ACB,0.25988631840040255,LOW,balanced
2020-06-24,VNM,0.051299234339665274,LOW,balanced
2020-06-24,FPT,0.15621417860202555,LOW,balanced
2020-06-25,GEX,0.25751317448518635,LOW,balanced
2020-06-25,CTD,0.2750870941727203,LOW,balanced
2020-06-25,ACB,0.25988631840040255,LOW,balanced
2020-06-25,VNM,0.051299234339665274,LOW,balanced
2020-06-25,FPT,0.15621417860202555,LOW,balanced
2020-06-26,GEX,0.25751317448518635,LOW,balanced
2020-06-26,CTD,0.2750870941727203,LOW,balanced
2020-06-26,ACB,0.25988631840040255,LOW,balanced
2020-06-26,VNM,0.051299234339665274,LOW,balanced
2020-06-26,FPT,0.15621417860202555,LOW,balanced
2020-06-29,GEX,0.25751317448518635,LOW,balanced
2020-06-29,CTD,0.2750870941727203,LOW,balanced
2020-06-29,ACB,0.25988631840040255,LOW,balanced
2020-06-29,VNM,0.051299234339665274,LOW,balanced
2020-06-29,FPT,0.15621417860202555,LOW,balanced
2020-06-30,GEX,0.25751317448518635,LOW,balanced
2020-06-30,CTD,0.2750870941727203,LOW,balanced
2020-06-30,ACB,0.25988631840040255,LOW,balanced
2020-06-30,VNM,0.051299234339665274,LOW,balanced
2020-06-30,FPT,0.15621417860202555,LOW,balanced
2020-07-01,ACB,0.2676950109810502,LOW,balanced
2020-07-01,CTD,0.26282148062802835,LOW,balanced
2020-07-01,GEX,0.2467796698563886,LOW,balanced
2020-07-01,VNM,0.05315325352141226,LOW,balanced
2020-07-01,FPT,0.16955058501312054,LOW,balanced
2020-07-02,ACB,0.2676950109810502,HIGH,balanced
2020-07-02,CTD,0.26282148062802835,HIGH,balanced
2020-07-02,GEX,0.2467796698563886,HIGH,balanced
2020-07-02,VNM,0.05315325352141226,HIGH,balanced
2020-07-02,FPT,0.16955058501312054,HIGH,balanced
2020-07-03,ACB,0.2676950109810502,HIGH,balanced
2020-07-03,CTD,0.26282148062802835,HIGH,balanced
2020-07-03,GEX,0.2467796698563886,HIGH,balanced
2020-07-03,VNM,0.05315325352141226,HIGH,balanced
2020-07-03,FPT,0.16955058501312054,HIGH,balanced
2020-07-06,ACB,0.2676950109810502,HIGH,balanced
2020-07-06,CTD,0.26282148062802835,HIGH,balanced
2020-07-06,GEX,0.2467796698563886,HIGH,balanced
2020-07-06,VNM,0.05315325352141226,HIGH,balanced
2020-07-06,FPT,0.16955058501312054,HIGH,balanced
2020-07-07,ACB,0.2676950109810502,HIGH,balanced
2020-07-07,CTD,0.26282148062802835,HIGH,balanced
2020-07-07,GEX,0.2467796698563886,HIGH,balanced
2020-07-07,VNM,0.05315325352141226,HIGH,balanced
2020-07-07,FPT,0.16955058501312054,HIGH,balanced
2020-07-08,ACB,0.2676950109810502,HIGH,balanced
2020-07-08,CTD,0.26282148062802835,HIGH,balanced
2020-07-08,GEX,0.2467796698563886,HIGH,balanced
2020-07-08,VNM,0.05315325352141226,HIGH,balanced
2020-07-08,FPT,0.16955058501312054,HIGH,balanced
2020-07-09,ACB,0.2676950109810502,LOW,balanced
2020-07-09,CTD,0.26282148062802835,LOW,balanced
2020-07-09,GEX,0.2467796698563886,LOW,balanced
2020-07-09,VNM,0.05315325352141226,LOW,balanced
2020-07-09,FPT,0.16955058501312054,LOW,balanced
2020-07-10,ACB,0.2676950109810502,LOW,balanced
2020-07-10,CTD,0.26282148062802835,LOW,balanced
2020-07-10,GEX,0.2467796698563886,LOW,balanced
2020-07-10,VNM,0.05315325352141226,LOW,balanced
2020-07-10,FPT,0.16955058501312054,LOW,balanced
2020-07-13,ACB,0.2676950109810502,LOW,balanced
2020-07-13,CTD,0.26282148062802835,LOW,balanced
2020-07-13,GEX,0.2467796698563886,LOW,balanced
2020-07-13,VNM,0.05315325352141226,LOW,balanced
2020-07-13,FPT,0.16955058501312054,LOW,balanced
2020-07-14,ACB,0.2676950109810502,LOW,balanced
2020-07-14,CTD,0.26282148062802835,LOW,balanced
2020-07-14,GEX,0.2467796698563886,LOW,balanced
2020-07-14,VNM,0.05315325352141226,LOW,balanced
2020-07-14,FPT,0.16955058501312054,LOW,balanced
2020-07-15,ACB,0.2676950109810502,LOW,balanced
2020-07-15,CTD,0.26282148062802835,LOW,balanced
2020-07-15,GEX,0.2467796698563886,LOW,balanced
2020-07-15,VNM,0.05315325352141226,LOW,balanced
2020-07-15,FPT,0.16955058501312054,LOW,balanced
2020-07-16,ACB,0.2676950109810502,LOW,balanced
2020-07-16,CTD,0.26282148062802835,LOW,balanced
2020-07-16,GEX,0.2467796698563886,LOW,balanced
2020-07-16,VNM,0.05315325352141226,LOW,balanced
2020-07-16,FPT,0.16955058501312054,LOW,balanced
2020-07-17,ACB,0.2676950109810502,LOW,balanced
2020-07-17,CTD,0.26282148062802835,LOW,balanced
2020-07-17,GEX,0.2467796698563886,LOW,balanced
2020-07-17,VNM,0.05315325352141226,LOW,balanced
2020-07-17,FPT,0.16955058501312054,LOW,balanced
2020-07-20,ACB,0.2676950109810502,LOW,balanced
2020-07-20,CTD,0.26282148062802835,LOW,balanced
2020-07-20,GEX,0.2467796698563886,LOW,balanced
2020-07-20,VNM,0.05315325352141226,LOW,balanced
2020-07-20,FPT,0.16955058501312054,LOW,balanced
2020-07-21,ACB,0.2676950109810502,LOW,balanced
