date,weight
2020-07-31,0.796466991747778
2020-08-03,1.0
2020-08-04,0.5875283937967096
2020-08-05,0.7105091154519019
2020-08-06,0.5810378848078008
2020-08-07,0.6568632391426651
2020-08-10,0.6474766533943526
2020-08-11,1.0
2020-08-12,0.7427638415718988
2020-08-13,1.0
2020-08-14,0.674303791769864
2020-08-17,1.0
2020-08-18,0.5804085248323854
2020-08-19,0.6752899395835209
2020-08-20,0.4431406072001196
2020-08-21,0.6387497448205173
2020-08-24,0.4282626984814687
2020-08-25,0.7510401464094885
2020-08-26,0.25907439812681954
2020-08-27,0.4442904431678094
2020-08-28,1.0
2020-08-31,1.0
2020-09-01,1.0
2020-09-03,0.37284570655994076
2020-09-04,0.3280702318559009
2020-09-07,0.21413305491236723
2020-09-08,0.25831633659278097
2020-09-09,0.2693565163641394
2020-09-10,0.7046412943373582
2020-09-11,0.2521794121141492
2020-09-14,0.2900157674376943
2020-09-15,0.0
2020-09-16,0.4063519113261951
2020-09-17,0.2845114053444163
2020-09-18,0.30153698066542933
2020-09-21,0.3692063436209321
2020-09-22,0.4210990246160865
2020-09-23,0.28559677759169444
2020-09-24,0.39569689227975535
2020-09-25,0.0
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,1.0
2020-10-01,0.0
2020-10-02,0.0
2020-10-05,0.2963281635985333
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.2762817669066161
2020-10-09,0.0
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-19,0.7450492881737836
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,1.0
2020-10-26,1.0
2020-10-27,1.0
2020-10-28,0.7578181465795581
2020-10-29,1.0
2020-10-30,0.7785331238694092
2020-11-02,0.24170821786985464
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,1.0
2020-11-06,0.0
2020-11-09,1.0
2020-11-10,1.0
2020-11-11,1.0
2020-11-12,1.0
2020-11-13,1.0
2020-11-16,1.0
2020-11-17,1.0
2020-11-18,0.6058352054862219
2020-11-19,1.0
2020-11-20,1.0
2020-11-23,1.0
2020-11-24,1.0
2020-11-25,1.0
2020-11-26,1.0
2020-11-27,1.0
2020-11-30,1.0
2020-12-01,1.0
2020-12-02,1.0
2020-12-03,1.0
2020-12-04,1.0
2020-12-07,1.0
2020-12-08,1.0
2020-12-09,1.0
2020-12-10,1.0
2020-12-11,0.44580532349925617
2020-12-14,0.35618860430032406
2020-12-15,0.7413011703576791
2020-12-16,1.0
2020-12-17,1.0
2020-12-18,1.0
2020-12-21,1.0
2020-12-22,1.0
2020-12-23,1.0
2020-12-24,1.0
2020-12-25,1.0
2020-12-28,0.0
2020-12-29,1.0
2020-12-30,0.0
2020-12-31,1.0
2021-01-04,0.0
2021-01-05,1.0
2021-01-06,1.0
2021-01-07,1.0
2021-01-08,0.0
2021-01-11,1.0
2021-01-12,0.0
2021-01-13,0.5096576722852055
2021-01-14,0.0
2021-01-15,0.0
2021-01-18,0.0
2021-01-19,0.0
2021-01-20,0.5243226510929443
2021-01-21,0.0
2021-01-22,0.0
2021-01-25,0.0
2021-01-26,0.0
2021-01-27,0.0
2021-01-28,1.0
2021-01-29,0.0
2021-02-01,0.0
2021-02-02,0.0
2021-02-03,0.0
2021-02-04,0.0
2021-02-05,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-17,0.0
2021-02-18,0.0
2021-02-19,0.0
2021-02-22,0.0
2021-02-23,0.0
2021-02-24,0.0
2021-02-25,0.0
2021-02-26,0.0
2021-03-01,0.0
2021-03-02,0.0
2021-03-03,0.2860496928439794
2021-03-04,0.5366584537008311
2021-03-05,1.0
2021-03-08,1.0
2021-03-09,1.0
2021-03-10,1.0
2021-03-11,1.0
2021-03-12,1.0
2021-03-15,1.0
2021-03-16,1.0
2021-03-17,1.0
2021-03-18,1.0
2021-03-19,1.0
2021-03-22,1.0
2021-03-23,1.0
2021-03-24,1.0
2021-03-25,1.0
2021-03-26,1.0
2021-03-29,1.0
2021-03-30,1.0
2021-03-31,1.0
2021-04-01,1.0
2021-04-02,1.0
2021-04-05,1.0
2021-04-06,1.0
2021-04-07,1.0
2021-04-08,1.0
2021-04-09,1.0
2021-04-12,1.0
2021-04-13,1.0
2021-04-14,1.0
2021-04-15,1.0
2021-04-16,1.0
2021-04-19,1.0
2021-04-20,1.0
2021-04-22,1.0
2021-04-23,1.0
2021-04-26,1.0
2021-04-27,1.0
2021-04-28,1.0
2021-04-29,0.6589988572024121
2021-05-04,0.6924015700083872
2021-05-05,0.6927853805145425
2021-05-06,1.0
2021-05-07,1.0
2021-05-10,0.7076145242376966
2021-05-11,1.0
2021-05-12,0.5651982845839099
2021-05-13,0.7007482597402737
2021-05-14,0.5950371093428068
2021-05-17,0.6656838676638772
2021-05-18,0.5144489060919353
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-24,0.0
2021-05-25,0.0
2021-05-26,0.4534155328261832
2021-05-27,0.0
2021-05-28,0.0
2021-05-31,0.0
2021-06-01,0.0
2021-06-02,1.0
2021-06-03,0.0
2021-06-04,0.0
2021-06-07,0.0
2021-06-08,0.0
2021-06-09,0.0
2021-06-10,0.0
2021-06-11,0.0
2021-06-14,0.0
2021-06-15,0.36655463292507884
2021-06-16,0.0
2021-06-17,1.0
2021-06-18,0.548892366234554
2021-06-21,0.38633907888046004
2021-06-22,0.7864400770248288
2021-06-23,1.0
2021-06-24,1.0
2021-06-25,1.0
2021-06-28,1.0
2021-06-29,1.0
2021-06-30,0.5910698495654406
2021-07-01,1.0
2021-07-02,1.0
2021-07-05,0.7999246821159685
2021-07-06,1.0
2021-07-07,1.0
2021-07-08,0.5498561746601114
2021-07-09,0.4250885536897022
2021-07-12,1.0
2021-07-13,0.0
2021-07-14,0.0
2021-07-15,0.2995636729178125
2021-07-16,0.34433390397372987
2021-07-19,0.7513512977538975
2021-07-20,0.27959656498083585
2021-07-21,0.0
2021-07-22,0.0
2021-07-23,0.3215741510267257
2021-07-26,0.0
2021-07-27,0.0
2021-07-28,0.35195313749026114
2021-07-29,0.4207906622705302
